raw,canonical,state_code
atlanta,Atlanta,GA
austin,Austin,TX
boston,Boston,MA
chicago,Chicago,IL
dallas,Dallas,TX
denver,Denver,CO
houston,Houston,TX
las vegas,Las Vegas,NV
los angeles,Los Angeles,CA
miami,Miami,FL
minneapolis-saint paul,Minneapolis-Saint Paul,MN
nashville,Nashville,TN
new orleans,New Orleans,LA
new york city,New York City,NY
park city,Park City,UT
philadelphia,Philadelphia,PA
phoenix,Phoenix,AZ
"portland, or","Portland, OR",OR
san diego,San Diego,CA
san francisco bay area,San Francisco Bay Area,CA
seattle,Seattle,WA
"washington, dc","Washington, DC",DC
