primary_type,price_point,ambiance,intimacy,quietness,dining_experience,cuisine_fit,deterministic
fine_dining_restaurant,high,9,8,8,9,8,true
fine_dining_restaurant,medium,8,7,7,7,7,true
italian_restaurant,high,9,8,7,8,9,true
italian_restaurant,medium,7,7,6,6,8,true
italian_restaurant,low,6,6,5,4,7,true
french_restaurant,high,9,8,7,9,9,true
french_restaurant,medium,8,7,6,7,8,true
french_restaurant,low,6,6,5,4,7,true
modern_french_restaurant,high,9,8,7,9,9,true
modern_french_restaurant,medium,8,7,6,7,8,true
japanese_restaurant,high,8,8,8,9,8,true
japanese_restaurant,medium,7,7,7,6,7,true
sushi_restaurant,high,8,8,8,9,8,true
sushi_restaurant,medium,7,7,7,6,7,true
sushi_restaurant,low,5,5,6,4,6,true
kaiseki_restaurant,high,9,9,9,9,9,true
ramen_restaurant,low,5,4,3,4,5,true
ramen_restaurant,medium,5,5,4,5,5,true
izakaya_restaurant,medium,6,6,4,5,6,true
new_american_restaurant,high,8,7,7,8,7,true
new_american_restaurant,medium,7,6,6,6,6,true
new_american_restaurant,low,5,5,5,4,5,true
american_restaurant,high,7,6,6,8,5,true
american_restaurant,medium,6,5,5,6,5,true
american_restaurant,low,4,4,4,4,4,true
mediterranean_restaurant,high,8,7,7,8,8,true
mediterranean_restaurant,medium,7,6,6,6,7,true
mediterranean_restaurant,low,5,5,5,4,6,true
greek_restaurant,medium,7,6,6,6,7,true
spanish_restaurant,high,8,7,7,7,8,true
spanish_restaurant,medium,7,6,6,6,7,true
mexican_restaurant,high,7,6,5,7,6,true
mexican_restaurant,medium,6,5,5,5,5,true
mexican_restaurant,low,4,4,4,3,4,true
korean_barbecue_restaurant,high,7,5,4,7,6,true
korean_barbecue_restaurant,medium,6,4,3,6,5,true
korean_restaurant,medium,7,6,6,6,6,true
korean_restaurant,low,5,5,5,4,5,true
chinese_restaurant,medium,6,5,5,5,5,true
chinese_restaurant,low,4,4,4,3,4,true
indian_restaurant,medium,7,6,5,6,6,true
indian_restaurant,low,5,5,4,4,5,true
thai_restaurant,medium,6,5,5,5,6,true
vietnamese_restaurant,medium,5,5,5,5,5,true
seafood_restaurant,high,8,7,6,8,7,true
seafood_restaurant,medium,7,6,5,6,6,true
steak_house,high,8,7,5,9,6,true
steak_house,medium,7,6,5,7,5,true
pizza_restaurant,low,4,4,3,3,5,true
pizza_restaurant,medium,5,5,4,5,6,true
diner,low,3,3,3,3,2,true
sandwich_shop,low,2,2,2,2,2,true
cafe,low,4,4,4,3,3,true
cafe,medium,5,5,4,4,4,true
gastropub,medium,6,5,4,6,5,true
wine_bar,medium,8,7,6,5,7,true
cocktail_bar,medium,8,7,6,4,6,true
bar,medium,5,4,3,3,3,true
bar,low,3,3,2,2,3,true
night_club,medium,3,2,1,2,2,true
gay_bar,medium,4,3,2,2,3,true
brunch_restaurant,medium,6,5,5,5,5,true
peruvian_restaurant,medium,7,6,6,6,7,true
peruvian_restaurant,low,5,5,5,4,6,true
french_restaurant,low,5,5,5,4,7,true
